,bike_id,weekday,start_hour,start_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_time,end_station_id,end_station_name,end_station_latitude,end_station_longitude,trip_duration,subscriber,birth_year,gender,gender_category,trip_duration_min,start_year,start_month,start_week,start_day,end_year,end_month,end_week,end_day,end_hour,days_category,peak_hours,avg_trip_duration_each_hour,day_of_week,hours_category
18028,16052,Tue,0,2013-09-17 00:36:14,428,E 3 St & 1 Ave,40.72467721,-73.98783413,2013-09-17 00:40:51,403,E 2 St & 2 Ave,40.72502876,-73.99069656,277,Subscriber,1979.0,2,Female,4,2013,9,38,17,2013,9,38,17,0,Weekdays,Normal hours,13.1,3,0am - 5am
18082,15510,Sat,1,2013-09-21 01:40:50,415,Pearl St & Hanover Square,40.7047177,-74.00926027,2013-09-21 01:45:39,415,Pearl St & Hanover Square,40.7047177,-74.00926027,289,Subscriber,1974.0,1,Male,4,2013,9,38,21,2013,9,38,21,1,Weekend,Normal hours,13.1,7,0am - 5am
18153,17245,Wed,5,2013-09-25 05:46:38,346,Bank St & Hudson St,40.73652889,-74.00618026,2013-09-25 06:00:01,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,803,Subscriber,1977.0,1,Male,13,2013,9,39,25,2013,9,39,25,6,Weekdays,Normal hours,10.2,4,0am - 5am
18198,14828,Wed,0,2013-09-11 00:16:58,463,9 Ave & W 16 St,40.74206539,-74.00443172,2013-09-11 00:26:42,489,10 Ave & W 28 St,40.75066386,-74.00176802,584,Subscriber,1991.0,1,Male,9,2013,9,37,11,2013,9,37,11,0,Weekdays,Normal hours,13.1,4,0am - 5am
18251,17553,Mon,2,2013-09-02 02:00:27,173,Broadway & W 49 St,40.76064679,-73.98442659,2013-09-02 02:20:44,459,W 20 St & 11 Ave,40.746745,-74.007756,1217,Non-Subscriber,,0,Unknown,20,2013,9,36,2,2013,9,36,2,2,Weekdays,Normal hours,12.2,2,0am - 5am
18307,16072,Wed,1,2013-09-25 01:05:36,536,1 Ave & E 30 St,40.74144387,-73.97536082,2013-09-25 01:30:07,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,1471,Subscriber,1985.0,1,Male,24,2013,9,39,25,2013,9,39,25,1,Weekdays,Normal hours,13.1,4,0am - 5am
18314,17708,Sat,0,2013-09-28 00:54:10,448,W 37 St & 10 Ave,40.75660359,-73.9979009,2013-09-28 01:03:33,173,Broadway & W 49 St,40.76064679,-73.98442659,563,Subscriber,1975.0,1,Male,9,2013,9,39,28,2013,9,39,28,1,Weekend,Normal hours,13.1,7,0am - 5am
18327,18400,Sat,0,2013-09-21 00:08:12,453,W 22 St & 8 Ave,40.74475148,-73.99915362,2013-09-21 00:14:22,402,Broadway & E 22 St,40.7403432,-73.98955109,370,Subscriber,1958.0,1,Male,6,2013,9,38,21,2013,9,38,21,0,Weekend,Normal hours,13.1,7,0am - 5am
18360,16860,Mon,5,2013-09-16 05:53:41,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,2013-09-16 06:03:54,411,E 6 St & Avenue D,40.72228087,-73.97668709,613,Non-Subscriber,,0,Unknown,10,2013,9,38,16,2013,9,38,16,6,Weekdays,Normal hours,10.2,2,0am - 5am
18408,15835,Sat,5,2013-09-14 05:49:32,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,2013-09-14 05:54:23,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,291,Subscriber,1992.0,1,Male,4,2013,9,37,14,2013,9,37,14,5,Weekend,Normal hours,10.2,7,0am - 5am
18466,16397,Sat,1,2013-09-21 01:06:56,404,9 Ave & W 14 St,40.7405826,-74.00550867,2013-09-21 01:20:12,503,E 20 St & Park Ave,40.73827428,-73.98751968,796,Subscriber,1976.0,1,Male,13,2013,9,38,21,2013,9,38,21,1,Weekend,Normal hours,13.1,7,0am - 5am
18473,16554,Fri,0,2013-09-27 00:04:54,466,W 25 St & 6 Ave,40.74395411,-73.99144871,2013-09-27 00:27:48,349,Rivington St & Ridge St,40.71850211,-73.98329859,1374,Subscriber,1982.0,1,Male,22,2013,9,39,27,2013,9,39,27,0,Weekdays,Normal hours,13.1,6,0am - 5am
18496,20524,Sat,1,2013-09-21 01:08:28,545,E 23 St & 1 Ave,40.736502,-73.97809472,2013-09-21 01:33:50,223,W 13 St & 7 Ave,40.73781509,-73.99994661,1522,Subscriber,1987.0,2,Female,25,2013,9,38,21,2013,9,38,21,1,Weekend,Normal hours,13.1,7,0am - 5am
18510,18333,Sun,1,2013-09-01 01:33:05,454,E 51 St & 1 Ave,40.75455731,-73.96592976,2013-09-01 01:52:36,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,1171,Non-Subscriber,,0,Unknown,19,2013,9,35,1,2013,9,35,1,1,Weekend,Normal hours,13.1,1,0am - 5am
18542,16858,Sat,4,2013-09-28 04:26:25,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,2013-09-28 04:32:16,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,351,Subscriber,1982.0,1,Male,5,2013,9,39,28,2013,9,39,28,4,Weekend,Normal hours,11.6,7,0am - 5am
18544,17490,Wed,1,2013-09-18 01:48:25,532,S 5 Pl & S 4 St,40.710451,-73.960876,2013-09-18 02:12:53,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,1468,Non-Subscriber,,0,Unknown,24,2013,9,38,18,2013,9,38,18,2,Weekdays,Normal hours,13.1,4,0am - 5am
18609,15847,Tue,5,2013-09-10 05:36:30,290,2 Ave & E 58 St,40.76020258,-73.96478473,2013-09-10 05:41:15,440,E 45 St & 3 Ave,40.75255434,-73.97282625,285,Subscriber,1984.0,1,Male,4,2013,9,37,10,2013,9,37,10,5,Weekdays,Normal hours,10.2,3,0am - 5am
18616,18665,Sat,2,2013-09-28 02:06:40,251,Mott St & Prince St,40.72317958,-73.99480012,2013-09-28 02:18:52,482,W 15 St & 7 Ave,40.73935542,-73.99931783,732,Subscriber,1982.0,1,Male,12,2013,9,39,28,2013,9,39,28,2,Weekend,Normal hours,12.2,7,0am - 5am
18625,16622,Wed,5,2013-09-04 05:33:29,426,West St & Chambers St,40.71754834,-74.01322069,2013-09-04 05:44:23,459,W 20 St & 11 Ave,40.746745,-74.007756,654,Subscriber,1972.0,1,Male,10,2013,9,36,4,2013,9,36,4,5,Weekdays,Normal hours,10.2,4,0am - 5am
18703,17402,Sun,0,2013-09-22 00:02:43,415,Pearl St & Hanover Square,40.7047177,-74.00926027,2013-09-22 00:11:57,146,Hudson St & Reade St,40.71625008,-74.0091059,554,Subscriber,1977.0,1,Male,9,2013,9,38,22,2013,9,38,22,0,Weekend,Normal hours,13.1,1,0am - 5am
18718,17505,Sat,3,2013-09-07 03:27:36,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,2013-09-07 03:39:17,476,E 31 St & 3 Ave,40.74394314,-73.97966069,701,Subscriber,1978.0,1,Male,11,2013,9,36,7,2013,9,36,7,3,Weekend,Normal hours,11.6,7,0am - 5am
18720,18470,Sun,1,2013-09-08 01:00:24,404,9 Ave & W 14 St,40.7405826,-74.00550867,2013-09-08 01:15:57,410,Suffolk St & Stanton St,40.72066442,-73.98517977,933,Subscriber,1959.0,2,Female,15,2013,9,36,8,2013,9,36,8,1,Weekend,Normal hours,13.1,1,0am - 5am
18745,20382,Fri,0,2013-09-13 00:24:27,320,Church St & Leonard St,40.71743998,-74.00583475,2013-09-13 00:39:19,383,Greenwich Ave & Charles St,40.735238,-74.000271,892,Subscriber,1992.0,1,Male,14,2013,9,37,13,2013,9,37,13,0,Weekdays,Normal hours,13.1,6,0am - 5am
18788,19705,Wed,5,2013-09-18 05:28:07,237,E 11 St & 2 Ave,40.73047309,-73.98672378,2013-09-18 05:49:13,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,1266,Subscriber,1981.0,1,Male,21,2013,9,38,18,2013,9,38,18,5,Weekdays,Normal hours,10.2,4,0am - 5am
18868,18101,Sat,0,2013-09-21 00:48:48,422,W 59 St & 10 Ave,40.770513,-73.988038,2013-09-21 01:55:48,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,2697,Subscriber,1964.0,1,Male,44,2013,9,38,21,2013,9,38,21,1,Weekend,Normal hours,13.1,7,0am - 5am
18877,16866,Thu,0,2013-09-19 00:41:57,458,11 Ave & W 27 St,40.751396,-74.005226,2013-09-19 01:08:26,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,1589,Subscriber,1982.0,1,Male,26,2013,9,38,19,2013,9,38,19,1,Weekdays,Normal hours,13.1,5,0am - 5am
